,segment,emissions
6,Onshore oil,34332.783240311546
10,Steam coal,30047.273343540728
5,Onshore gas,18097.597572999308
2,Gas pipelines and LNG facilities,12639.023727074265
1,Coking coal,10313.157683730125
0,Bioenergy,9926.408037604764
4,Offshore oil,8349.611860015022
3,Offshore gas,4342.3967769229785
9,Satellite-detected large oil and gas emissions,3106.4000066518784
8,Other from oil and gas,2493.177698748652
7,Other from coal,1699.342014349997
